,id,accuracy,n_iter,mean_weight,n_filters,c_w,crop,kernel_size,stride,time_max,intensity
1,077029b0df623416d0640d0d400fada60a5997c9f1864dfe0ffc0848,0.8616,5000,0.24,100,-50.0,20,12,4,250,127.5
2,10706382198294901892,0.7655,10000,0.49000000000000005,25,-100.0,20,12,4,250,127.5
3,11078776799026513062,0.7694,10000,0.5,25,-100.0,20,12,4,250,127.5
4,11579302362096645865,0.7679,10000,0.40000000000000013,25,-100.0,20,12,4,250,127.5
6,12b1568c093bf5563e169f4e864154d20b95cec6492c59e0e2295068,0.7443,10000,0.48,100,-20.0,20,12,4,250,127.5
7,146895984239560197,0.7533,10000,0.5000000000000001,25,-100.0,20,12,4,250,127.5
8,1526098684411797527,0.7679,60000,0.48,25,-100.0,20,12,4,250,127.5
9,16048721716794563735,0.7355,10000,0.30000000000000004,25,-100.0,20,12,4,250,127.5
10,16475074838286047324,0.7765,10000,0.47000000000000003,25,-100.0,20,12,4,250,127.5
11,17527561978431401366,0.7712,10000,0.51,25,-100.0,20,12,4,250,127.5
12,17909190457558319937,0.706,10000,0.25,25,-100.0,20,12,4,250,127.5
13,18346708667969063549,0.6474,10000,0.2,25,-100.0,20,12,4,250,127.5
14,1f58f88354b530cc97b217671812f7c02e67b0b4f6d66a3c0c34b2d6,0.864,5000,0.30000000000000004,100,-50.0,20,12,4,250,127.5
15,2e762b53737d742e89a9295d927abecad0fe4502ca223245a74562b7,0.8616,5000,0.26,100,-50.0,20,12,4,250,127.5
16,3295482879112252507,0.7766,10000,0.46,25,-100.0,20,12,4,250,127.5
17,32b9501454df9a483a18f48499062f885fdcc887f63e0d5f94933c5e,0.7878,10000,0.3,100,-20.0,20,12,4,250,127.5
18,357e1f72015973ab34fe75687ca78f36c72d9cdaaf6496748eb34473,0.792,5000,0.24,100,-20.0,20,12,4,250,127.5
19,3595143158860492302,0.7638,10000,0.3500000000000001,25,-100.0,20,12,4,250,127.5
20,3a2846ea8cac0ceae1e970206cb6f0de92e5e6c2b930e99beff81ab4,0.865,5000,0.32000000000000006,100,-50.0,20,12,4,250,127.5
21,4cfeccda458cf8a8f27c89c2e051320bd506e85b340930b2143e08f5,0.8666,5000,0.24,100,-40.0,20,12,4,250,127.5
22,509a6cb312df306f9c63852ae2a6ce50ce99882af6868dc053e3afe7,0.6864,10000,0.35,100,-10.0,20,12,4,250,127.5
23,5d2508625c9d7b049e058bc2663890350d463873ec16c09fb03b3b93,0.7966,5000,0.28,100,-20.0,20,12,4,250,127.5
24,6087275321170668632,0.7719,10000,0.45000000000000007,25,-100.0,20,12,4,250,127.5
25,6504076794348446911,0.777,10000,0.48000000000000004,25,-100.0,20,12,4,250,127.5
26,7331708789739269487,0.7715,10000,0.52,25,-100.0,20,12,4,250,127.5
27,79e4a814811147d7601b3c646ceb704af6608ed8867d66b5084a7952,0.8332,5000,0.26,100,-30.0,20,12,4,250,127.5
28,9089967577706011379,0.7665,60000,0.47,25,-100.0,20,12,4,250,127.5
29,a1e4015b772cb7c13ca1284cd4635d2e375dafe484bb27b4aec71cfa,0.8334,5000,0.30000000000000004,100,-40.0,20,12,4,250,127.5
30,a4bc8512bbb137b35da2b9bb5e7f2a3953b86f713e43650c64ddd3e2,0.7874,5000,0.26,100,-20.0,20,12,4,250,127.5
31,add9ba256f507a0d9687ea3c027f1c539f0fd1e93f268b39916c7a2b,0.7848,5000,0.30000000000000004,100,-20.0,20,12,4,250,127.5
32,b2d87cc94c5cf4f2ae978f04c51da69e9598edf018a8c6602c4d1b16,0.837,5000,0.24,100,-30.0,20,12,4,250,127.5
33,b4abdf22226c9581dc0bc0f681e0d1facbdcefed25be369a728d62a6,0.7611,10000,0.35,100,-20.0,20,12,4,250,127.5
36,c0a68b0f9f24fcc5ae0229d0cae9bf280167603e369f7f6bb32e40c8,0.7472,10000,0.2,100,-100.0,20,12,4,250,127.5
37,c4351b176d18025099a9071abd6a310d72b71fb22abbb53b5de2f297,0.7766,5000,0.32000000000000006,100,-20.0,20,12,4,250,127.5
38,cbbfa6a5c90c2e8f29ed87c47977cb1cb51d300917e611ae3463ca75,0.8274,5000,0.30000000000000004,100,-30.0,20,12,4,250,127.5
39,d4c9d39cdbddf85383caa5cb4bc796dce255512bb0afaccaf732142a,0.8594,5000,0.26,100,-40.0,20,12,4,250,127.5
40,e1c52835b9fba780706bb501f11db9e4ef6b057b1644615dd3dba274,0.862,5000,0.28,100,-50.0,20,12,4,250,127.5
41,e6d7502768186a33495b69b1f599d126009abb806718daedf75b4c38,0.8328,5000,0.28,100,-30.0,20,12,4,250,127.5
42,e7ac3d5a21c0625cd45abdc40b2275e79b68cbfff9472a4fc20cb1ce,0.8406,5000,0.32000000000000006,100,-30.0,20,12,4,250,127.5
43,e9aa67444ff9108541a5d0e4b0a4ba40eaa4ac37c6d474907047f363,0.8406,5000,0.32000000000000006,100,-40.0,20,12,4,250,127.5
44,fb97ffe1e533c2b68c2b59f118c2df258b59eeaf092424a25ae28741,0.8552,5000,0.28,100,-40.0,20,12,4,250,127.5
